comuna,Gas de red,Gas a granel (zeppelin),Gas en tubo,Gas en garrafa,Electricidad,Leña o carbón,Otro
1,83,0.1,0.3,12.9,3.2,0.1,0.5
2,97.4,0,0,0.4,2,0,0.1
3,95.9,0,0.1,2.8,0.9,0,0.2
4,77.9,0.1,0.4,20.9,0.5,0.1,0.2
5,97.3,0,0,1.5,1,0,0.1
6,98.3,0,0,0.6,1,0,0
7,87.5,0,0.1,11.4,0.6,0,0.3
8,63.6,0.2,0.5,35.1,0.3,0.2,0.3
9,92.2,0.1,0.2,7.2,0.3,0,0.1
10,97.8,0,0.1,1.7,0.3,0,0.1
11,98.2,0,0,1.1,0.6,0,0
12,97.2,0,0.1,1.3,1.3,0,0.1
13,97.5,0,0,0.4,2,0,0.1
14,96.5,0,0,0.5,2.9,0,0.1
15,95.2,0,0.1,3.5,1,0,0.1
total ciudad,92.2,0,0.1,6.2,1.3,0,0.1
