comuna,Red pública,Perforación con bomba a motor,Perforación con bomba manual,Pozo,Transporte por cisterna,"Agua de lluvia, río, canal, arroyo o acequia"
1,98.7,1,0,0.1,0.1,0
2,99.7,0.2,0,0,0.1,0
3,99.5,0.4,0,0,0.1,0
4,99.3,0.5,0.1,0,0,0
5,99.7,0.3,0,0,0,0
6,99.8,0.1,0,0,0,0
7,99.5,0.5,0,0,0,0
8,99.1,0.5,0,0.1,0.3,0
9,99.8,0.2,0,0,0,0
10,99.8,0.1,0,0,0,0
11,99.9,0.1,0,0,0,0
12,99.9,0.1,0,0,0,0
13,99.9,0.1,0,0,0,0
14,99.7,0.2,0,0,0.1,0
15,99.6,0.2,0,0,0.1,0
total ciudad,99.6,0.3,0,0,0.1,0
